gene_id	sex	diff_exp	category	logFC	FPKM	chr	hypermethylated	weighted_meth	meth_level	logFPKM
Dcitr00g11550.1	female	yes	male_biased	2.977008	0.05	DC3.0sc00	none	0.0236730750916702	Low	-2.99573227355399
Dcitr00g11550.1	male	yes	male_biased	2.977008	1.3	DC3.0sc00	none	0.0141378690919185	Low	0.262364264467491
Dcitr00g11560.1	female	no	unbiased	-0.2808203	7.68	DC3.0sc00	none	0	None	2.03861954715958
Dcitr00g11560.1	male	no	unbiased	-0.2808203	9.66	DC3.0sc00	none	0	None	2.26799364822443
Dcitr00g11590.1	female	no	unbiased	0.08918761	21.78	DC3.0sc00	none	0.0152701611569037	Low	3.08099211750481
Dcitr00g11590.1	male	no	unbiased	0.08918761	37.12	DC3.0sc00	none	0.0100358777604167	Low	3.614155907918
Dcitr00g11600.1	female	no	unbiased	-0.341473729522615	43.77	DC3.0sc00	none	0.0127864324598663	Low	3.7789486512028
Dcitr00g11600.1	male	no	unbiased	-0.341473729522615	37.75	DC3.0sc00	none	0.00684423156311846	Low	3.63098547569503
Dcitr00g11610.1	female	no	unbiased	0.2415526	23.8	DC3.0sc00	none	0.0235526576767889	Low	3.16968558067743
Dcitr00g11610.1	male	no	unbiased	0.2415526	41.75	DC3.0sc00	none	0.0330297971879775	Low	3.73169945129686
Dcitr00g11620.1	female	no	unbiased	0.2703488	25.66	DC3.0sc00	none	0.033692590112453	Low	3.24493335918749
Dcitr00g11620.1	male	no	unbiased	0.2703488	27.53	DC3.0sc00	none	0.0606484949121923	Low	3.31527631915452
Dcitr00g11660.1	female	no	unbiased	-0.387661346851656	20.18	DC3.0sc00	none	0	None	3.00469201492546
Dcitr00g11660.1	male	no	unbiased	-0.387661346851656	17.45	DC3.0sc00	none	0.00165016501650165	Low	2.85933964864844
Dcitr00g11700.1	female	no	unbiased	-0.269347	8.8	DC3.0sc00	none	0.00623078264673999	Low	2.17475172148416
Dcitr00g11700.1	male	no	unbiased	-0.269347	6.16	DC3.0sc00	none	0.00530254007108604	Low	1.81807677754543
Dcitr00g11740.1	female	no	unbiased	0.5698	1.81	DC3.0sc00	none	0.00362167680062187	Low	0.593326845277734
Dcitr00g11740.1	male	no	unbiased	0.5698	2.28	DC3.0sc00	none	0.00590859160003241	Low	0.824175442966349
Dcitr00g11790.1	female	no	unbiased	0.3890138	18.45	DC3.0sc00	none	0.00617020569352513	Low	2.91506437048654
Dcitr00g11790.1	male	no	unbiased	0.3890138	18.56	DC3.0sc00	none	0.00762574701122576	Low	2.92100872735805
Dcitr00g11800.1	female	no	unbiased	0.01218067	56.28	DC3.0sc00	none	0.00614331814436573	Low	4.03033923224619
Dcitr00g11800.1	male	no	unbiased	0.01218067	51.68	DC3.0sc00	none	0.0033542340884574	Low	3.94507085947435
Dcitr00g11840.1	female	no	unbiased	0.007634104	9.08	DC3.0sc00	none	0.0203149377571323	Low	2.2060741926132
Dcitr00g11840.1	male	no	unbiased	0.007634104	6	DC3.0sc00	none	0.00659689458774132	Low	1.79175946922805
Dcitr00g11850.1	female	no	unbiased	-0.341265984537178	9.33	DC3.0sc00	none	0.42355823236937	Medium	2.23323501485925
Dcitr00g11850.1	male	no	unbiased	-0.341265984537178	5.52	DC3.0sc00	none	0.466719608453493	Medium	1.708377860289
Dcitr00g11860.1	female	no	unbiased	0.7649132	13.21	DC3.0sc00	none	0.012192171201474	Low	2.58097411853423
Dcitr00g11860.1	male	no	unbiased	0.7649132	14.67	DC3.0sc00	none	0.0134944073400904	Low	2.68580459215489
Dcitr00g11870.1	female	no	unbiased	-0.750101283873994	14.51	DC3.0sc00	none	0	None	2.6748380668961
Dcitr00g11870.1	male	no	unbiased	-0.750101283873994	17.12	DC3.0sc00	none	0	None	2.8402473707136
Dcitr00g11880.1	female	no	unbiased	0.1072521	7.91	DC3.0sc00	none	0.0134025911314436	Low	2.06812778177956
Dcitr00g11880.1	male	no	unbiased	0.1072521	6.25	DC3.0sc00	none	0.0158454542679534	Low	1.83258146374831
Dcitr00g11890.1	female	no	unbiased	0.1465411	31.69	DC3.0sc00	none	0.00658329168202907	Low	3.45600117370283
Dcitr00g11890.1	male	no	unbiased	0.1465411	40.9	DC3.0sc00	none	0.00643460752146234	Low	3.71113006304876
Dcitr00g11900.1	female	no	unbiased	1.261526	7.19	DC3.0sc00	none	0.114069675869983	Low	1.97269117173296
Dcitr00g11900.1	male	no	unbiased	1.261526	16.14	DC3.0sc00	none	0.119834580442591	Low	2.7813006628418
Dcitr00g11910.1	female	no	unbiased	-0.2059977	107.48	DC3.0sc00	none	0.0806287630874619	Low	4.67730478374729
Dcitr00g11910.1	male	no	unbiased	-0.2059977	91.5	DC3.0sc00	none	0.104769078507675	Low	4.51633897228148
Dcitr00g11930.1	female	no	unbiased	0.9022957	5.57	DC3.0sc00	none	0.265667545015371	Low	1.71739505393919
Dcitr00g11930.1	male	no	unbiased	0.9022957	10.79	DC3.0sc00	none	0.487608150313643	Medium	2.37861977927004
Dcitr00g11950.1	female	no	unbiased	-0.414779719757587	98.15	DC3.0sc00	none	0.0117647058823529	Low	4.58649692072247
Dcitr00g11950.1	male	no	unbiased	-0.414779719757587	57.09	DC3.0sc00	none	0	None	4.04462896997617
Dcitr00g12020.1	female	no	unbiased	1.008174	12.37	DC3.0sc00	none	0.896380297492644	High	2.5152741864044
Dcitr00g12020.1	male	no	unbiased	1.008174	21.65	DC3.0sc00	none	0.837541739661305	High	3.0750054544485
Dcitr00g12090.1	female	no	unbiased	-0.316799124505226	125.71	DC3.0sc00	none	0	None	4.83397766692674
Dcitr00g12090.1	male	no	unbiased	-0.316799124505226	101.33	DC3.0sc00	none	0.00617283950617283	Low	4.61838251746023
Dcitr00g12120.1	female	no	unbiased	0.2426647	42.05	DC3.0sc00	none	0.124995947925987	Low	3.73885938641896
Dcitr00g12120.1	male	no	unbiased	0.2426647	40.59	DC3.0sc00	none	0.125728471854407	Low	3.70352173085081
Dcitr00g12140.1	female	yes	male_limited	7.136098	1	DC3.0sc00	none	0.286233909850931	Low	0
Dcitr00g12140.1	male	yes	male_limited	7.136098	15.33	DC3.0sc00	none	0.216733213820078	Low	2.72981169288372
Dcitr00g12170.1	female	no	unbiased	0.05543317	37.91	DC3.0sc00	none	0.0175395599692243	Low	3.63521492952824
Dcitr00g12170.1	male	no	unbiased	0.05543317	40.47	DC3.0sc00	none	0.0239610787783986	Low	3.70056095888777
Dcitr00g12180.1	female	no	unbiased	0.01009179	24.8	DC3.0sc00	none	0.0535467834838571	Low	3.21084365317094
Dcitr00g12180.1	male	no	unbiased	0.01009179	28.61	DC3.0sc00	none	0.0735102758258174	Low	3.35375630706202
Dcitr00g12200.1	female	no	unbiased	-0.724741537642488	19.13	DC3.0sc00	none	0.155973405085705	Low	2.95125778345216
Dcitr00g12200.1	male	no	unbiased	-0.724741537642488	6.64	DC3.0sc00	none	0.202915231749729	Low	1.89311196348834
Dcitr00g12210.1	female	no	unbiased	-0.08432688	57.18	DC3.0sc00	none	0.119475394285349	Low	4.04620418689417
Dcitr00g12210.1	male	no	unbiased	-0.08432688	49.06	DC3.0sc00	none	0.135187370001017	Low	3.89304403883034
Dcitr00g12220.1	female	no	unbiased	-0.466027477812811	44.1	DC3.0sc00	none	0.00697023393114661	Low	3.7864597824528
Dcitr00g12220.1	male	no	unbiased	-0.466027477812811	35.5	DC3.0sc00	none	0.00450172056545634	Low	3.56953269648137
Dcitr00g12230.1	female	no	unbiased	0.02872478	9.99	DC3.0sc00	none	0.00818085923868018	Low	2.30158459266046
Dcitr00g12230.1	male	no	unbiased	0.02872478	11.03	DC3.0sc00	none	0.00732651739237107	Low	2.40061883326541
Dcitr00g12250.1	female	no	unbiased	-0.2266787	19.37	DC3.0sc00	none	0.10849419721364	Low	2.9637254774189
Dcitr00g12250.1	male	no	unbiased	-0.2266787	21.54	DC3.0sc00	none	0.0984155830666674	Low	3.06991167172824
Dcitr00g12260.1	female	no	unbiased	-0.1343234	907.04	DC3.0sc00	none	0.067369256084782	Low	6.81018655057599
Dcitr00g12260.1	male	no	unbiased	-0.1343234	764.84	DC3.0sc00	none	0.0255994347070262	Low	6.63966666162476
Dcitr00g12270.1	female	no	unbiased	1.125685	6.02	DC3.0sc00	none	0.00565987831745948	Low	1.79508725932073
Dcitr00g12270.1	male	no	unbiased	1.125685	10.7	DC3.0sc00	none	0.00687778327532758	Low	2.37024374146786
Dcitr00g12280.1	female	yes	male_biased	1.663777	0.65	DC3.0sc00	none	0.00737181584559529	Low	-0.430782916092454
Dcitr00g12280.1	male	yes	male_biased	1.663777	1.51	DC3.0sc00	none	0.00326545530492899	Low	0.412109650826833
Dcitr00g12300.1	female	no	unbiased	-0.40881438068298	12.01	DC3.0sc00	none	0.00972603342686582	Low	2.48573963609189
Dcitr00g12300.1	male	no	unbiased	-0.40881438068298	5.35	DC3.0sc00	none	0.00793322190621387	Low	1.67709656090792
Dcitr00g12310.1	female	no	unbiased	0.1966659	4.83	DC3.0sc00	none	0.0053763440860215	Low	1.57484646766448
