gene_id	F1_FPKM	F2_FPKM	F3_FPKM	M1_FPKM	M2_FPKM	M3_FPKM	female_fpkm_mean	male_fpkm_mean	log2FoldChange	pvalue	padj	female_sq	male_sq	SPM	diff_exp	category
Dcitr06g07580.1	0	0	0	27.6	32.11	31.73	0	27.6	9.770863	4.053842e-16	1.409306e-14	0	761.76	0	yes	male_limited
Dcitr06g07620.1	3.51	2.51	1.77	2.65	3.29	3.63	3.51	2.65	0.3178306	0.3740968	0.6492243	12.3201	7.0225	0.6369413	no	unbiased
Dcitr06g07640.1	19.46	16.5	16.96	20.18	17.04	16.79	19.46	20.18	0.0369997	0.8680524	0.9466958	378.6916	407.2324	0.4818425	no	unbiased
Dcitr06g07670.1	8.22	6.54	18.16	11.49	10.57	10.4	8.22	11.49	-0.01171387	0.9811522	0.9921599	67.5684	132.0201	0.3385385	no	unbiased
Dcitr06g07680.1	4.39	4.41	2.06	3.51	5.21	5.13	4.39	3.51	0.3658986	0.5609751	0.7943121	19.2721	12.3201	0.6100272	no	unbiased
Dcitr06g07710.1	315.66	269.33	320.76	267.11	291.48	254.47	315.66	267.11	-0.14996	0.3363579	0.6148068	99641.24	71347.75	0.5827348	no	unbiased
Dcitr06g07720.1	23.29	17.02	28.11	8.97	11.58	14.57	23.29	8.97	-0.9395146	0.001316609	0.008832668	542.4241	80.4609	0.8708254	no	unbiased
Dcitr06g07730.1	2.95	2.31	2.12	1.63	2.25	1.29	2.95	1.63	-0.5284718	0.376013	0.6504658	8.7025	2.6569	0.7661056	no	unbiased
Dcitr06g07740.1	147.06	153.69	139.75	122.84	124.18	137.04	147.06	122.84	-0.189152	0.1884158	0.4379062	21626.64	15089.67	0.5890201	no	unbiased
Dcitr06g07760.1	5.73	2.33	5.76	9.57	4.89	4.43	5.73	9.57	0.4389664	0.4787672	0.7371269	32.8329	91.5849	0.2638923	no	unbiased
Dcitr06g07770.1	7.73	3.75	6.3	6.88	6.19	6.61	7.73	6.88	0.1524529	0.7508452	0.8978857	59.7529	47.3344	0.5579831	no	unbiased
Dcitr06g07780.1	184.47	178.24	153.84	150.21	146.14	152.72	184.47	150.21	-0.1913894	0.1332806	0.3527715	34029.18	22563.04	0.6013049	no	unbiased
Dcitr06g07790.1	47.78	67.41	45.97	41.17	36.76	58.07	47.78	41.17	-0.2361872	0.2607494	0.5316302	2282.928	1694.969	0.5739033	no	unbiased
Dcitr06g07800.1	11.58	6.93	6.33	6.98	7.82	9.04	11.58	6.98	-0.03269603	0.9151203	0.9661643	134.0964	48.7204	0.7335015	no	unbiased
Dcitr06g07810.1	5.59	7.4	4.24	4.58	8.66	5.96	5.59	4.58	0.1795848	0.7087329	0.878028	31.2481	20.9764	0.5983418	no	unbiased
Dcitr06g07820.1	54.72	39.13	39.43	54.03	39.38	34.75	54.72	54.03	-0.04963133	0.8221648	0.9295903	2994.278	2919.241	0.5063446	no	unbiased
Dcitr06g07830.1	46.43	31.8	34.46	26.7	19.86	26.79	46.43	26.7	-0.6068874	0.03362975	0.1333053	2155.745	712.89	0.7514881	no	unbiased
Dcitr06g07840.1	5.03	4.71	4.69	9.43	6.61	8.78	5.03	9.43	0.7880004	0.1577376	0.3902095	25.3009	88.9249	0.221499	no	unbiased
Dcitr06g07850.1	114.83	89.37	115.36	55.96	74.44	66.67	114.83	55.96	-0.6832688	0.0007881034	0.005579664	13185.93	3131.522	0.8080876	no	unbiased
Dcitr06g07860.1	7.49	5.89	4.64	3.44	2.33	3.98	7.49	3.44	-0.8547686	0.04909294	0.1768629	56.1001	11.8336	0.8258066	no	unbiased
Dcitr06g07880.1	21.21	20.35	18.66	15.9	10.24	10.94	21.21	15.9	-0.7047646	0.04541613	0.1669772	449.8641	252.81	0.6402173	no	unbiased
Dcitr06g07890.1	6.13	3.69	3.76	6.71	7	7.7	6.13	6.71	0.6771841	0.03013279	0.1224953	37.5769	45.0241	0.4549206	no	unbiased
Dcitr06g07900.1	12.24	13.81	17.58	16.94	19.63	22.64	12.24	16.94	0.449966	0.05756483	0.1988968	149.8176	286.9636	0.3430038	no	unbiased
Dcitr06g07910.1	3.63	1.79	2.18	0.88	1.3	0.83	3.63	0.88	-1.312612	0.0110099	0.05509833	13.1769	0.7744	0.9444926	no	unbiased
Dcitr06g07920.1	9.55	8.15	10.1	6.25	8.75	6.1	9.55	6.25	-0.3878141	0.1134523	0.3165595	91.2025	39.0625	0.7001305	no	unbiased
Dcitr06g07930.1	4.9	2.49	5.68	2.82	2.53	2.67	4.9	2.82	-0.690223	0.09551531	0.2815104	24.01	7.9524	0.7511952	no	unbiased
Dcitr06g07940.1	2.67	3.39	3.69	2.72	2.26	4.56	2.67	2.72	-0.01260218	0.9771703	0.9906858	7.1289	7.3984	0.4907244	no	unbiased
Dcitr06g07950.1	13.76	12.55	13.73	11.91	16.33	17.51	13.76	11.91	0.2119946	0.5775531	0.8044906	189.3376	141.8481	0.5716962	no	unbiased
Dcitr06g07960.1	10.63	5.73	0	3.83	11.63	0	10.63	3.83	-0.07937669	0.9740452	0.9899988	112.9969	14.6689	0.8850992	no	unbiased
Dcitr06g07970.1	11.1	12.84	15.45	18.17	11.95	24.52	11.1	18.17	0.4779814	0.0623531	0.2109197	123.21	330.1489	0.2717714	no	unbiased
Dcitr06g07980.1	4.88	6.58	10	6.41	3.54	3.6	4.88	6.41	-0.687743	0.1490935	0.3783877	23.8144	41.0881	0.3669258	no	unbiased
Dcitr06g07990.1	105.23	104.64	97.62	83.42	79.46	85.28	105.23	83.42	-0.30022	0.09068597	0.2716483	11073.35	6958.896	0.6140861	no	unbiased
Dcitr06g08000.1	8.26	10.42	10.02	10.57	11.47	12.41	8.26	10.57	0.2626357	0.4148855	0.6845958	68.2276	111.7249	0.3791423	no	unbiased
Dcitr06g08010.1	7.85	7.03	5.57	6.86	4.84	8.88	7.85	6.86	0.023332	0.936094	0.9742442	61.6225	47.0596	0.5669977	no	unbiased
Dcitr06g08020.1	3.86	7.76	7.49	9.68	5.87	4.79	3.86	9.68	0.06304762	0.8959871	0.9586029	14.8996	93.7024	0.1371945	no	unbiased
Dcitr06g08030.1	14.57	12.2	8.73	10.19	14.11	13.92	14.57	10.19	0.1221114	0.6637094	0.8532807	212.2849	103.8361	0.6715305	no	unbiased
Dcitr06g08060.1	5.74	3.86	3.15	4.04	3.43	3.09	5.74	4.04	-0.2783496	0.4101946	0.6798771	32.9476	16.3216	0.6687261	no	unbiased
Dcitr06g08080.1	91.48	67.23	65.12	0.31	0.24	0.42	91.48	0.31	-7.817429	1.999995e-25	1.825142e-23	8368.59	0.0961	0.9999885	yes	female_biased
Dcitr06g08100.1	2.3	3.8	1.82	3.7	5.4	4.45	2.3	3.7	0.7866007	0.05517005	0.1932041	5.29	13.69	0.2787144	no	unbiased
Dcitr06g08110.1	3.41	2.22	2.68	3.9	3.87	3.86	3.41	3.9	0.5087154	0.1642699	0.4009561	11.6281	15.21	0.4332684	no	unbiased
Dcitr06g08130.1	200.56	162.65	168.66	108.17	161.81	118.77	200.56	108.17	-0.4388322	0.0698629	0.2290816	40224.31	11700.75	0.7746609	no	unbiased
Dcitr06g08140.1	128.96	187.64	127.63	94.9	65.08	141.32	128.96	94.9	-0.5474642	0.1013265	0.2925246	16630.68	9006.01	0.6487062	no	unbiased
Dcitr06g08150.1	206.31	221.82	128.27	91.35	166.06	85.17	206.31	91.35	-0.6964694	0.02865333	0.1176759	42563.82	8344.822	0.8360824	no	unbiased
Dcitr06g08160.1	4.42	4.61	2.72	7.91	9.74	6.89	4.42	7.91	1.072612	0.0004004269	0.003017425	19.5364	62.5681	0.2379455	no	unbiased
Dcitr06g08170.1	87.01	100.53	119.99	52.51	87.19	71.58	87.01	52.51	-0.5295896	0.08758451	0.265643	7570.74	2757.3	0.7330278	no	unbiased
Dcitr06g08180.1	336.05	893.72	438.64	234.33	307.44	388.58	336.05	234.33	-0.8385753	0.0806626	0.2526167	112929.6	54910.55	0.6728402	no	unbiased
Dcitr06g08200.1	7.05	5.25	3.9	6.81	8.06	4.75	7.05	6.81	0.2926702	0.4320998	0.6995552	49.7025	46.3761	0.5173108	no	unbiased
Dcitr06g08230.1	913.17	702.65	475.99	512.19	432.26	812.04	913.17	512.19	-0.2346365	0.5226926	0.7683451	833879.4	262338.6	0.7606876	no	unbiased
Dcitr06g08240.1	24.95	20.5	23.2	40.72	40.6	20.45	24.95	40.72	0.5695816	0.06000821	0.2052251	622.5025	1658.118	0.2729531	no	unbiased
Dcitr06g08280.1	2.98	6.57	7.27	4.58	4.48	4.05	2.98	4.58	-0.3849558	0.4557912	0.718966	8.8804	20.9764	0.2974331	no	unbiased
Dcitr06g08300.1	13.98	14.5	12.5	11.72	15.06	12.85	13.98	11.72	-0.03666738	0.8457013	0.9384834	195.4404	137.3584	0.5872629	no	unbiased
Dcitr06g08310.1	9.93	8.14	7.31	10.19	9.38	8.06	9.93	10.19	0.1283019	0.6526118	0.8472186	98.6049	103.8361	0.4870797	no	unbiased
Dcitr06g08320.1	3.69	4.17	6.32	16.05	25.53	15.56	3.69	16.05	2.0173	3.185337e-05	0.000294146	13.6161	257.6025	0.05020342	yes	male_biased
Dcitr06g08330.1	2.18	7.94	4.56	5.85	4.85	3.16	2.18	5.85	-0.1118854	0.8428434	0.937784	4.7524	34.2225	0.1219349	no	unbiased
Dcitr06g08340.1	78.87	75.23	81.39	88.55	95.73	100.44	78.87	88.55	0.2833887	0.09739243	0.2849176	6220.477	7841.102	0.442374	no	unbiased
Dcitr06g08350.1	0	1.34	1.07	14.19	16.18	10.63	0	14.19	4.088528	4.6315e-08	5.938176e-07	0	201.3561	0	yes	male_limited
Dcitr06g08360.1	30.43	31.38	34.67	31.05	32.2	25.75	30.43	31.05	-0.1122186	0.5396821	0.7801066	925.9849	964.1025	0.4899164	no	unbiased
Dcitr06g08370.1	19.03	17.31	16.9	14.64	15.67	19.48	19.03	14.64	-0.0825157	0.6550081	0.848925	362.1409	214.3296	0.6282037	no	unbiased
Dcitr06g08380.1	25.89	25.46	30.96	20.36	30.37	24.64	25.89	20.36	-0.1152204	0.6403645	0.8395979	670.2921	414.5296	0.6178823	no	unbiased
Dcitr06g08390.1	8.03	10.37	6.82	6.94	7.29	6.8	8.03	6.94	-0.2594085	0.2641296	0.5355542	64.4809	48.1636	0.5724283	no	unbiased
Dcitr06g08400.1	26.2	23.83	27.84	24.94	16.06	19.11	26.2	24.94	-0.3703713	0.1114615	0.3136846	686.44	622.0036	0.5246233	no	unbiased
Dcitr06g08410.1	15.6	17.82	17.46	16.19	15.34	16.63	15.6	16.19	-0.06935496	0.7483826	0.8965915	243.36	262.1161	0.4814471	no	unbiased
Dcitr06g08420.1	2.26	2.92	1.64	3.05	3.2	2.29	2.26	3.05	0.3210468	0.4920685	0.7466346	5.1076	9.3025	0.3544458	no	unbiased
Dcitr06g08440.1	1.31	2.39	2.77	2.83	4.51	4.06	1.31	2.83	0.8316292	0.03150047	0.1266858	1.7161	8.0089	0.1764627	no	unbiased
Dcitr06g08460.1	1.32	0.71	0.61	3.57	2.67	2.3	1.32	3.57	1.708349	1.499772e-05	0.0001444039	1.7424	12.7449	0.1202709	yes	male_biased
Dcitr06g08470.1	1259.98	1234.43	1330.03	1003.68	1132.25	876.35	1259.98	1003.68	-0.3381465	0.007502419	0.04011632	1587550	1007374	0.6117906	no	unbiased
Dcitr06g08480.1	11.98	11	8.86	16.55	13.82	14.19	11.98	16.55	0.4912578	0.0104675	0.05275219	143.5204	273.9025	0.3438249	no	unbiased
Dcitr06g08500.1	24.76	29.42	29.76	21.85	24.27	26	24.76	21.85	-0.2076736	0.3449576	0.6236107	613.0576	477.4225	0.5621905	no	unbiased
Dcitr06g08510.1	5.89	14.97	6.36	8.51	8.69	5.98	5.89	8.51	-0.2170633	0.669315	0.8558415	34.6921	72.4201	0.3238856	no	unbiased
Dcitr06g08520.1	9.5	11.25	10.5	9.47	9.29	10.41	9.5	9.47	-0.08912099	0.685552	0.8648561	90.25	89.6809	0.5015814	no	unbiased
Dcitr06g08540.1	7.8	6.95	10.12	12.98	15.41	11.12	7.8	12.98	0.6666881	0.05499155	0.1926334	60.84	168.4804	0.2653057	no	unbiased
Dcitr06g08550.1	6.59	4.96	3.01	13.42	10.18	7.99	6.59	13.42	1.131464	0.003345195	0.02007602	43.4281	180.0964	0.1942879	no	unbiased
Dcitr06g08580.1	0.75	0	0	22.31	28.89	25.99	0.75	22.31	6.766516	2.586636e-10	4.280365e-09	0.5625	497.7361	0.001128841	yes	male_biased
Dcitr06g08590.1	40.9	32.75	34.67	51.15	54.99	52.52	40.9	51.15	0.5612383	0.0002519205	0.001992725	1672.81	2616.322	0.3900113	no	unbiased
Dcitr06g08600.1	10.61	12.62	12.03	14.66	4.5	19.11	10.61	14.66	0.1398164	0.8095496	0.9235559	112.5721	214.9156	0.3437445	no	unbiased
Dcitr06g08620.1	1.81	1.08	1.59	0.95	4.16	1.78	1.81	0.95	0.6498941	0.2293387	0.4941531	3.2761	0.9025	0.7840186	no	unbiased
Dcitr06g08660.1	1.32	0.7	1.43	5.15	4.37	5.84	1.32	5.15	2.179945	4.265349e-10	6.892871e-09	1.7424	26.5225	0.06164536	yes	male_biased
Dcitr06g08680.1	35.07	33.15	26.73	30.77	31.05	29.93	35.07	30.77	-0.04087039	0.8336622	0.9339756	1229.905	946.7929	0.5650325	no	unbiased
Dcitr06g08690.1	9.62	8.13	9.19	11.78	12.49	11.24	9.62	11.78	0.4064562	0.01998695	0.08977854	92.5444	138.7684	0.4000834	no	unbiased
Dcitr06g08700.1	1017.78	854.09	718.47	591.73	658.83	599.87	1017.78	591.73	-0.4732615	0.0005377181	0.00394189	1035876	350144.4	0.7473743	no	unbiased
Dcitr06g08710.1	5.64	7.14	5.88	7.95	8.05	7.32	5.64	7.95	0.3230499	0.08818223	0.2669341	31.8096	63.2025	0.3347953	no	unbiased
Dcitr06g08720.1	14.37	17.25	20.8	12.64	15.89	19.41	14.37	12.64	-0.07628496	0.8460321	0.9385988	206.4969	159.7696	0.5637887	no	unbiased
Dcitr06g08730.1	41.01	35.81	38.27	26.24	36.93	37.7	41.01	26.24	-0.176576	0.2977612	0.5724154	1681.82	688.5376	0.7095216	no	unbiased
